Time,Reporter,Type,Content,Screenshot,RTF Note
2016-11-30 00:16:29,Filip Mańkowski,(Rapid Reporter version),"1.16.05.20",,
2016-11-30 00:16:29,Filip Mańkowski,Session Reporter,"Filip Mańkowski",,
2016-11-30 00:16:29,Filip Mańkowski,Session Charter,"Cos rozlaczylo koniec",,
2016-11-30 00:16:40,Filip Mańkowski,Test,"Dodalismy uzytkownika",,
2016-11-30 00:16:43,Filip Mańkowski,autogenerated,"screenshot saved",1_20161130_001643.jpg,
2016-11-30 00:18:42,Filip Mańkowski,Test,"24 Dostepne funkcje resetowania Hasla",1_20161130_001643.jpg,
2016-11-30 00:18:53,Filip Mańkowski,autogenerated,"screenshot saved",2_20161130_001853.jpg,
2016-11-30 00:19:00,Filip Mańkowski,autogenerated,"screenshot saved",3_20161130_001900.jpg,
2016-11-30 00:21:08,Filip Mańkowski,Session End. Duration,"00:04:38",,
